Original Attribute Name,Original Attribute Type,Original Attribute Definition,Parent Elements,NIEM Eqivalent/Refined Attribute Name,NIEM Eqivalent/Refined Attribute Type,NIEM Eqivalent/Refined Attribute Definition,Status,Comments
manuallyDecoded,boolean,True if the information has been decoded manually; false otherwise,"callLog, devices, chats, contacts, deviceConnectivity, deviceEvents, deviceUsers, downloads, installedApplications, instantMessages, locations, networkUsages, passwords, searchedItems, userAccounts, webBookmarks, webHistory, wirelessNetworks, simData",ManuallyDecodedIndicator,niem-xs : Boolean,True if the information has been decoded manually; false otherwise.,Initial refinement completed. Pending Tiger Team review.,
phoneCallDistance,string,Distance between parties in a phone call,callLog,,,,Needs to be refined by Tiger Team.,
chats,object,"Surface-level list of conversation topics from SMS messages, MMS messages, chats, and instant messaging apps indicating which topics were discussed and when.",,ChatTopicsInfo,ChatTopicsInfoType,"Overview of conversation topics from SMS messages, MMS messages, chats, and instant messaging apps indicating which topics were discussed and when.",Initial refinement completed. Pending Tiger Team review.,
chatNumber,integer,A sequential number given to a chat on a device,chats,ChatNumber,xs:integer,"A sequential number given to a chat recovered from a device, in order of chat occurrence.",Initial refinement completed. Pending Tiger Team review.,
chatIdentifier,string,Identifier given to a chat,chats,ChatIdentifier,nc:IdentificationId,An identifier assigned to a chat recovered from a device.,Initial refinement completed. Pending Tiger Team review.,
chatType,string,Kind of chat,chats,ChatTypeDescriptionText,nc:TextType,A kind of conversation.,Initial refinement completed. Pending Tiger Team review.,
chatStartTime,string,Time that a conversation began,chats,ChatStartTime,nc:DateTime,Date and time that a conversation began.,Initial refinement completed. Pending Tiger Team review.,
lastActivityTime,string,Most recent time of activity that occurred in a conversation,chats,LastChatActivityDateTime,niem-xs:dateTime,A date and time that the most recent activity in a chat conversation occurred.,Initial refinement completed. Pending Tiger Team review.,
chatName,string,Name given to a chat,chats,ChatName,nc:TextType,A name given to a chat recovered from a device.,Initial refinement completed. Pending Tiger Team review.,
chatDescription,string,Information about a chat,chats,ChatDescriptionText,nc:TextType,"A description of a ""chat"" recovered from a device's SMS messages, MMS messages, chats, or instant messaging apps.",Initial refinement completed. Pending Tiger Team review.,
participantPhoto,string,base64 encoded image of a chat participant,chats,,,,Needs to be refined by Tiger Team.,
participants,array,List of chat participants,"chats, parties",,,,Needs to be refined by Tiger Team.,
isGroupAdmin,boolean,"True if a chat participant is the group admin, false otherwise",parties,isGroupAdminIndicator,niem-xs : boolean,True if a chat participant is the group admin; false otherwise.,Initial refinement completed. Pending Tiger Team review.,
deletedChat,string,"Chat files that are no longer associated with a file allocation table or master file table. Deleted files are still resident on
the media but are not accessible by the operating system.",chats,DeletedChatFiles,nc : TextType,A list of chat files that are no longer associated with a file allocation table or master file table. Deleted files are still resident on the media but are not accessible by the operating system.,Initial refinement completed. Pending Tiger Team review.,
instantMessageNumber,integer,An identifier assigned to a specific message. A originating command may develop the message serial number by any method.,chats,usmtf:MessageSerialNumberID,usmtf : MessageSerialNumberType,An identifier assigned to a specific message. A originating command may develop the message serial number by any method.,Mapped to existing NIEMOpen attribute.,
participantTimestamps,string,"List of times that instant message events occurred for each participant, such as delivered, read, and played (for audio message)",chats,,,,Needs to be refined by Tiger Team.,
cc,string,An electronic mailing address that was included on the CC (carbon copy) line of an email.,"chats, instantMessages",CCEmailID,xs:string,An electronic mailing address that was included on the CC (carbon copy) line of an email.,Initial refinement completed. Pending Tiger Team review.,
bcc,string,An electronic mailing address that was included on the BCC (blind carbon copy) line of an email.,"chats, instantMessages",BCCEmailID,xs:string,An electronic mailing address that was included on the BCC (blind carbon copy) line of an email.,Initial refinement completed. Pending Tiger Team review.,
messagePriority,string,A code for the message content priority associated with a content header.,"chats, instantMessages",cbrn:MessagePriorityCode,cbrncl : MessagePriorityCodeType,A code for the message content priority associated with a content header.,Mapped to existing NIEMOpen attribute.,
messageSubject,string,A subject line or field of a message.,"chats, instantMessages",nc:MessageSubjectText,nc : TextType,A subject line or field of a message.,Mapped to existing NIEMOpen attribute.,
messageBody,string,A body or main content of a message.,"chats, instantMessages",nc:MessageText,nc : TextType,A body or main content of a message.,Mapped to existing NIEMOpen attribute.,
messageStatus,string,A status of the message.,"chats, instantMessages",cbrn:MessageStatus,cbrn : MessageStatusType,A status of the message.,Mapped to existing NIEMOpen attribute.,
messagePlatform,string,Messaging platform used,chats,nc:InstantMessegerServiceName,nc : TextType,A name of an instant messaging service.,Mapped to existing NIEMOpen attribute.,
messageLabel,string,A description of a message,"chats, instantMessages",em:MessageDescriptionText,nc : TextType,A description of a message,Mapped to existing NIEMOpen attribute.,
deliveredTime,string,Date and time that a message was delivered to the receiving party,"chats, instantMessages",MessageDeliveredTime,niem-xs:dateTime,Date and time that a message was delivered to the receiving party.,Initial refinement completed. Pending Tiger Team review.,
readTime,string,Date and time that a message was read by the receiving party,"chats, instantMessages",,,,Needs to be refined by Tiger Team.,
attachment,string,Name of an attachment ,"chats, timeline, socialMediaActivity, calendarEntry, note",nc:DocumentName,nc:TextType,attachment,Mapped to existing NIEMOpen attribute.,
attachmentDetails,string,Information about an attachment,chats,nc:DocumentDetailsText,xs:string,Details of an attachment,Mapped to existing NIEMOpen attribute.,
serviceIdentifier,string,Name of a service application used,"chats, deviceConnectivity, instantMessages, locations, searchedItems, webHistory",,,,Needs to be refined by Tiger Team.,
starredMessage,boolean,Indicator of whether or not the message is starred,"chats, instantMessages",,,,Needs to be refined by Tiger Team.,
configurations,object,A set of information about the configuration of a device.,,mo:DeviceConfiguration,mo : DeviceConfigurationType,A set of information about the configuration of a device.,Mapped to existing NIEMOpen attribute.,
contacts,array,A piece of contact information stored on a device.,,nc:DeviceStoredContactInformation,nc : ContactInformationType,A piece of contact information stored on a device.,Mapped to existing NIEMOpen attribute.,
contactName,string,An entity that may be contacted by using the given contact information.,"contacts, contactIdentificationData",nc:ContactEntity,nc : EntityType,An entity that may be contacted by using the given contact information.,Mapped to existing NIEMOpen attribute.,
contactGroup,string,A description of the entity being contacted.,contacts,nc:ContactEntityDescriptionText,nc : TextType,A description of the entity being contacted.,Mapped to existing NIEMOpen attribute.,
interactionStatuses,string,Kind of interactions encountered with a contact,contacts,ContactInteractionCategoriesText,nc : TextType,A description of the kind(s) of interaction(s) encountered with a contact.,Initial refinement completed. Pending Tiger Team review.,
contactEntry,object,A set of details about how to contact a person or an organization.,contacts,nc:ContactInformation,nc : ContactInformationType,A set of details about how to contact a person or an organization.,Mapped to existing NIEMOpen attribute.,
mobilePhone,string,A cell phone number by which a person may be contacted.,"contactEntry, reportExaminer, modifiedBy",nc:ContactTelephoneNumber,nc : TelephoneNumberType,A telephone number for a telecommunication device by which a person or organization may be contacted.,Mapped to existing NIEMOpen attribute.,
generalPhone,string,A telephone number for a contact.,contactEntry,j:ContactPersonTelephoneNumber,nc : TelephoneNumberType,A telephone number for a contact.,Mapped to existing NIEMOpen attribute.,
uniqueID,string,Unique user ID for a contact over social media,contactEntry,,,,Needs to be refined by Tiger Team.,
whatsAppUserID,string,A particular user name of a user's What's App account,"contactEntry, entries",nc:InstantMessengerScreenID,niem-xs : string,An account identifier used to reference a person or organization within an instant messaging system.,Mapped to existing NIEMOpen attribute.,
jid,string,,contactEntry,,,,Needs to be refined by Tiger Team.,
webAddress,string,A complete web address as listed on the Internet and/or SIPRNET.,contactEntry,usmtf:WebsiteAddressText,usmtf : WebsiteAddressType,A complete web address as listed on the Internet and/or SIPRNET.,Mapped to existing NIEMOpen attribute.,
contactNotes,string,A field used by the POC or user to provide additional information,contacts,mo:ContactInformationComment,nc : CommentType,A field used by the POC or user to provide additional information,Mapped to existing NIEMOpen attribute.,
organization,string,A name of an organization.,"contacts, userAccounts",nc:OrganizationName,nc : TextType,A name of an organization.,Mapped to existing NIEMOpen attribute.,
address,string,A physical address for a location. This may or may not be the same as the location's mailing address.,"contacts, locations, userAccounts, timeline",nc:PhysicalAddress,nc : AddressType,A physical address for a location. This may or may not be the same as the location's mailing address.,Mapped to existing NIEMOpen attribute.,
userTag,,,contacts,,,,Needs to be refined by Tiger Team.,
additionalInfo,string,Additional details about an item or event,"contacts, devices, networkUsages, userAccounts, deviceUsers, deviceEvents, downloads",AdditionalEntityInfoText,niem-xs:string,Additional details about an item or event.,Initial refinement completed. Pending Tiger Team review.,
lastContactTime,string,Date and time that an entity was last contacted,contacts,LastContactDateTime,niem-xs:dateTime,A date and time that an entity was last contacted.,Initial refinement completed. Pending Tiger Team review.,
timesContacted,string,Number of times that an entity was contacted,contacts,,,,Needs to be refined by Tiger Team.,
sourceExtraction,,A method of exporting data from a source,"contact, simData",SourceExtractionMethodText,nc : TextType,A method used to export data from a source.,Initial refinement completed. Pending Tiger Team review.,
link,string,A name of a link.,"contacts, userAccounts",mo:LinkName,nc : TextType,A name of a link.,Mapped to existing NIEMOpen attribute.,
databases,array,An organized collection of data.,,stat:DataSet,stat : DataSetType,An organized collection of data.,Mapped to existing NIEMOpen attribute.,
rowCount,integer,Number of rows in a database,databases,,,,Needs to be refined by Tiger Team.,
decodedBy,string,Name of a tool used to decode information,databases,DecodedByToolName,nc:TextType,Name of a tool used to decode information.,Initial refinement completed. Pending Tiger Team review.,
applicationName,string,A name of a computer application used to process data.,"databases, installedApplications",nc:SoftwareName,nc : TextType,A name of a computer application used to process data.,Mapped to existing NIEMOpen attribute.,
deviceConnectivity,object,the ability to connect to or communicate with another computer or computer system,,DeviceConnectivity,DeviceConnectivityType,A device's ability to connect to or communicate with another computer or computer system.,Initial refinement completed. Pending Tiger Team review.,
startTime,string,A start date and time group expressed in Zulu to the nearest second.,"deviceConnectivity, deviceEvents, downloads, activitySensorData, calendarEntry",usmtf:StartDateTime,usmtf : DateTimeGroupSecondsZuluType,A start date and time group expressed in Zulu to the nearest second.,Mapped to existing NIEMOpen attribute.,
connectivityMethod,string,The kind of connection made to a device (e.g. Bluetooth),deviceConnectivity,ConnectivityMethod,nc:TextType,A connection made to a device (e.g. Bluetooth).,Initial refinement completed. Pending Tiger Team review.,
deviceIdentifiers,object,Attributes used to describe and identify a device,"deviceConnectivity, devices",DeviceIdentifiers,nc : IdentificationType,Information used to describe and identify a device.,Initial refinement completed. Pending Tiger Team review.,
deviceIdentifierComment,string,Details related to the additional device identifiers,deviceIdentifiers,nc:CommentText,nc : TextType,"A comment, note, or remark providing additional information.",Mapped to existing NIEMOpen attribute.,
connectivityNature,string,Description of the device connection,deviceConnectivity,ConnectivityNatureDescription,xs:string,Description of a device connection.,Initial refinement completed. Pending Tiger Team review.,
artifactFamily,string,Category of information or data created as a result of the use of an electronic device that shows past activity.,"deviceConnectivity, installedApplications, networkUsages, webHistory, wirelessNetworks",stat:ArtifactDescriptionText,nc : TextType,A description of the information object.,Mapped to existing NIEMOpen attribute.,
sourceRepositoryPath,string,An identifier assigned to the repository from which the information originated.,"deviceConnectivity, installedApplications, webHistory, wirelessNetworks",nc:RepositoryID,niem-xs : string,An identifier assigned to the repository from which the information originated.,Mapped to existing NIEMOpen attribute.,
deviceEvents,array,"Registered activity of any kind, including: Files, SMS, Instant Messages, phone calls, saved contacts, browser cookies, visited web pages, emails, locations, installation of applications, MMS, calendar entries, browser searches, application usage, passwords, etc.",,cbrn:SystemEvent,cbrn : SystemEventType,A set of data about a system event.,Mapped to existing NIEMOpen attribute.,
endTime,string,An ending date and time of a special event.,"deviceEvents, downloads, locations, wirelessNetworks, activitySensorData, calendarEntry",cbrn:SpecialEventEndDateTime,niem-xs : dateTime,An ending date and time of a special event.,Mapped to existing NIEMOpen attribute.,
eventTitle,string,A name of some event.,deviceEvents,mo:EventName,niem-xs : string,A name of some event.,Mapped to existing NIEMOpen attribute.,
deviceUsers,array,A person who uses a device.,,nc:DeviceUser,nc : PersonType,A person who uses a device.,Mapped to existing NIEMOpen attribute.,
deviceSerialNumber,string,An identification number of a device specified as an electronic serial number assigned to every GSM and UMTS cellular phone by the specific manufacturer.,"deviceUsers, devices",nc:DeviceESNIdentification,nc : IdentificationType,An identification number of a device specified as an electronic serial number assigned to every GSM and UMTS cellular phone by the specific manufacturer.,Mapped to existing NIEMOpen attribute.,
deviceUserName,string,"A person's actual name, used as an identifier for a system user.",deviceUsers,nc:UserPersonName,nc : PersonNameType,"A person's actual name, used as an identifier for a system user.",Mapped to existing NIEMOpen attribute.,
lastLoggedInTime,string,Date and time that a device was last signed into,deviceUsers,LastLoginDateTime,niem-xs:dateTime,A date and time that a device was last signed into.,Initial refinement completed. Pending Tiger Team review.,
deviceRestrictions,string,A limitation on the use of a device,deviceUsers,DeviceRestrictionsText,nc : TextType,A limitation on the use of a device.,Initial refinement completed. Pending Tiger Team review.,
deviceUserGroups,string,A name of a cyber group.,deviceUsers,mo:CyberGroupPrimaryName,nc : TextType,A name of a cyber group.,Mapped to existing NIEMOpen attribute.,
userType,string,Kind of device user,deviceUsers,,,,Needs to be refined by Tiger Team.,
photo,string,A name for the image.,deviceUsers,mo:ImageName,nc : TextType,A name for the image.,Mapped to existing NIEMOpen attribute.,
mt,string,Machine translation of a document name to English,document,,,,Needs to be refined by Tiger Team.,
fileAuthor,string,An entity primarily responsible for creating the intellectual content of the resource.,document,nc:DocumentAuthor,nc : EntityType,An entity primarily responsible for creating the intellectual content of the resource.,Mapped to existing NIEMOpen attribute.,
downloads,array,"Items (data, files, etc.) transferred from one location to another",,DownloadedFile,FileType,"Items (data, files, etc.) transferred from one location to another.",Initial refinement completed. Pending Tiger Team review.,
url,string,An identifier representing a universal resource locator (URL).,"downloads, webBookmarks, webHistory, socialMediaActivity",nc:URLID,niem-xs : anyURI,An identifier representing a universal resource locator (URL).,Mapped to existing NIEMOpen attribute.,
lastAccessed,string,date and time that a file was most recently accessed,downloads,FileLastAccessedDateTime,niem-xs:dateTime,A date and time that a file was most recently accessed.,Initial refinement completed. Pending Tiger Team review.,
bytesReceived,integer,Number of bytes received over a network,"downloads, networkUsages",NetworkBytesSentNumber,niem-xs : integer,Number of bytes received over a network.,Initial refinement completed. Pending Tiger Team review.,
downloadState,string,Status of the download,downloads,DownloadStatus,nc : StatusType,Status of the download.,Initial refinement completed. Pending Tiger Team review.,
globalDownloadUrlChains,string,,downloads,,,,Needs to be refined by Tiger Team.,
fuzzyEvents,array,Event data parsed by the analysis tool that should be manually verified,deviceEvents,ManualVerificationNeededIndicator,niem-xs : Boolean,True if the parsed data should be manually verified; false if manual verification is not needed.,Initial refinement completed. Pending Tiger Team review.,
additionalContactDetails,string,Contact information not specified elsewhere,,mo:AdditionalContactInformation,niem-xs:string,An additional means of contacting someone.,Mapped to existing NIEMOpen attribute.,
geolocation,,,,nc:Location ,nc : LocationType,A geospatial location.,Mapped to existing NIEMOpen attribute.,
table,string,Name of table in a database,,,,,Needs to be refined by Tiger Team.,
databaseName,string,A name and version of the system controlling the database key for a database record of entry.,,usmtf:DatabaseSystemName,usmtf : DatabaseSystemNameType,A name and version of the system controlling the database key for a database record of entry.,Mapped to existing NIEMOpen attribute.,
fuzzyObjects,array,Object data parsed by the analysis tool that should be manually verified,,ManualVerificationNeededIndicator,niem-xs : Boolean,True if the parsed data should be manually verified; false if manual verification is not needed.,Initial refinement completed. Pending Tiger Team review.,
objectName,string,A name of an observed object.,,mo:ObservedObjectName,nc : TextType,A name of an observed object.,Mapped to existing NIEMOpen attribute.,
properties,string,,,,,,Needs to be refined by Tiger Team.,
propertyType,string,Name of a type of property,properties,,,,Needs to be refined by Tiger Team.,
propertyValue,string,Value for a type of property,properties,,,,Needs to be refined by Tiger Team.,
password,object,A sequence of characters required for access to a computer system or digital device,"userAccounts, wirelessNetworks",,,,Needs to be refined by Tiger Team.,
passwordData,string,Text of a password,password,,,,Needs to be refined by Tiger Team.,
passwordType,string,Name of the type of password,password,,,,Needs to be refined by Tiger Team.,
imageHashes,object,A pattern for a hash value computed from a binary object like Image.,,biom:ImageHashValue,biom : ImageHashValueType,A pattern for a hash value computed from a binary object like Image.,Mapped to existing NIEMOpen attribute.,
imageName,string,A name for the image.,imageHashes,mo:ImageName,mo : TextType,A name for the image.,Mapped to existing NIEMOpen attribute.,
hashFunction,string,An established mathematical calculation that generates a numerical value based on input data. This numerical value is referred to as the hash or hash value.,imageHashes,nc:BinaryHashFunctionText,nc : TextType,A hash function used to generate a hash value representing an object encoded in a binary format.,Mapped to existing NIEMOpen attribute.,
referenceHashValue,string,,imageHashes,,,,Needs to be refined by Tiger Team.,
calculatedHashValue,string,,imageHashes,CalculatedHashValue,nc:ValueType,A calculated value for an image hash.,Initial refinement completed. Pending Tiger Team review.,
hashState,string,Status of hash data,imageHashes,HashStateText,nc : TextType,A status of hash data.,Initial refinement completed. Pending Tiger Team review.,
textualMetadata,object,,image,,,,Needs to be refined by Tiger Team.,
imageDescription,string,A text for the primary description of the image.,image,mo:ImageDescriptionText,nc : TextType,A text for the primary description of the image.,Mapped to existing NIEMOpen attribute.,
installedApplications,object,A detailed description of installed application software using the Common Platform Enumeration Standard.,,mo:InstalledSoftware,mo : softwareType,A detailed description of installed application software using the Common Platform Enumeration Standard.,Mapped to existing NIEMOpen attribute.,
operationMode,string,Description of whether the application operates in the foreground or background,installedApplications,,,,Needs to be refined by Tiger Team.,
applicationDescription,string,Text describing a device application,installedApplications,,,,Needs to be refined by Tiger Team.,
appVersion,string,A version of a computer application.,installedApplications,nc:SoftwareVersionText,nc : TextType,A version of a computer application.,Mapped to existing NIEMOpen attribute.,
identifier,string,A unique data string used as a key in the biometric system to name a biometric subject's identity and its associated attributes. An example of an identifier would be a passport number.,"installedApplications, deviceUsers",j:SubjectIdentification,nc : IdentificationType,An assigned identification that identifies a subject.,Mapped to existing NIEMOpen attribute.,
applicationID,string,Identifier for an application,"installedApplications, networkUsages",,,,Needs to be refined by Tiger Team.,
purchaseTime,string,Date and time that an application was purchased,installedApplications,,,,Needs to be refined by Tiger Team.,
installTime,string,Date and time that an application was installed,installedApplications,ApplicationInstallTime,niem-xs : dateTime,,Needs to be refined by Tiger Team.,
lastModifiedTime,string,A date a document was last changed.,installedApplications,nc:DocumentLastModifiedDate,nc : DateType,A date a document was last changed.,Mapped to existing NIEMOpen attribute.,
copyright,string,An owner of the copyright for the publication.,installedApplications,nc:PublicationPublisherText,nc : TextType,An owner of the copyright for the publication.,Mapped to existing NIEMOpen attribute.,
permissions,string,A code to specify what permissions a user has in the system.,installedApplications,usmtf:UserPermissionsCode,usmtf : UserPermissionsCodeType,A code to specify what permissions a user has in the system.,Mapped to existing NIEMOpen attribute.,
aliasNames,string,Assumed or additional name(s) that a person sometimes uses,installedApplications,usmtf:AliasName,usmtf:PersonNameType,An assumed name of the person.,Mapped to existing NIEMOpen attribute.,
applicationSizeBytes,integer,Size of an application in bytes,installedApplications,,,,Needs to be refined by Tiger Team.,
decoded,boolean,Indication of whether encoded text has been converted to plain text by means of a code,installedApplications,TextDecodedIndicator,niem-xs : Boolean,True if an encoded text has been converted to plain text by means of a code; false otherwise.,Initial refinement completed. Pending Tiger Team review.,
launches,integer,Number of times an application has been launched,installedApplications,ApplicationLaunchCount,niem-xs : integer,A number of times that an application has been launched.,Initial refinement completed. Pending Tiger Team review.,
activations,integer,Number of times an application has been activated,installedApplications,ApplicationActivationCount,niem-xs:integer,A number of times that an application has been activated.,Initial refinement completed. Pending Tiger Team review.,
activeTime,string,Amount of time that something was active,installedApplications,ActivityActiveDurationValue,niem-xs:duration,A duration of time that something was active.,Initial refinement completed. Pending Tiger Team review.,
backgroundTime,string,Amount of time that an application was running in the background,installedApplications,ApplicationProfileBackgroundDuration,nc:DurationType,Amount of time that an application was running in the background.,Initial refinement completed. Pending Tiger Team review.,
lastLaunchDate,string,Date that an application was most recently launched,installedApplications,ApplicationLastLaunchDateTime,niem-xs:dateTime,A date and time that an application was most recently launched.,Initial refinement completed. Pending Tiger Team review.,
isEmulatable,boolean,Indicator of if the application is able to be emulated,installedApplications,isEmulatableIndicator,niem-xs : boolean,True if an application is able to be emulated; false otherwise.,Initial refinement completed. Pending Tiger Team review.,
instantMessages,array,A facility for exchanging messages in real-time with other people over the Internet and tracking the progress of a given conversation.,,InstantMessage,InstantMessageType,A facility for exchanging messages in real-time with other people over the Internet and tracking the progress of a given conversation.,Initial refinement completed. Pending Tiger Team review.,
smsc,,,instantMessage,,,,Needs to be refined by Tiger Team.,
folder,string,a location where files are stored,"instantMessage, note",SystemFolderText,nc : TextType,A location where files are stored on a system.,Initial refinement completed. Pending Tiger Team review.,
messageType,string,A kind of message category.,instantMessage,nc:MessageCategoryText,nc : TextType,A kind of message category.,Mapped to existing NIEMOpen attribute.,
messageDeletionReason,string,Justification for the deletion of a message,instantMessage,MessageDeletionReasonText,nc : TextType,A justification for the deletion of a message.,Initial refinement completed. Pending Tiger Team review.,
serviceCenter,string,,instantMessage,,,,Needs to be refined by Tiger Team.,
reference,string,,instantMessage,,,,Needs to be refined by Tiger Team.,
segments,integer,,instantMessage,,,,Needs to be refined by Tiger Team.,
segmentNumber,integer,,instantMessage,,,,Needs to be refined by Tiger Team.,
locations,array,"Data stored within the mobile device from different sources including Cell towers, WiFi networks, Harvested Cell towers, Harvested WiFi networks, Media locations, Favorites, Reminders, Home, Entered, TomTom, Foursquare, GpsFix, Recent, Frequent, Wireless networks",,,,,Needs to be refined by Tiger Team.,
locationDescription,string,A description of a location.,locations,nc:LocationDescriptionText,nc : TextType,A description of a location.,Mapped to existing NIEMOpen attribute.,
origin,string,A name of the place that defines the origin.,"locations, searchedItems",usmtf:OriginPlaceName,usmtf : PlaceName20CharMaxType,A name of the place that defines the origin.,Mapped to existing NIEMOpen attribute.,
precision,string,"The degree of mutual agreement among a series of individual measurements, values, and/or results.",locations,,,,Needs to be refined by Tiger Team.,
map,string,An identification of the graphic (map) used in conjunction with other intelligence data.,locations,usmtf:MapReference,usmtf : MapReferenceType,An identification of the graphic (map) used in conjunction with other intelligence data.,Mapped to existing NIEMOpen attribute.,
mapAddress,string,A description of a map location.,"locations, searchedItems, webBookmarks",nc:MapLocationDescriptionText,nc : TextType,A description of a map location.,Mapped to existing NIEMOpen attribute.,
aggregatedLocations,integer,A group of locations,locations,AggregatedLocationsText,nc:TextType,A description of locations grouped together.,Initial refinement completed. Pending Tiger Team review.,
